PMRP_SUBJECT_ID,EXOME_ID
5269,8617481-1-0238096182
5299,MC.161282@1075678461
5314,MC.AMD101164@0123890889
5318,MC.160656@1075678250
5340,MC.AMD100456@0123911214
5342,5280572-1-0238095996
5350,MC.160287@1075680078
5351,5651730-1-0238096012
5352,MC.AMD134901@0123911200
5367,
5390,MC.158709@1075678451
5405,MC.157932@1075678470
5410,3660504-1-0238096085
5413,MC.160250@1075678482
5428,
5438,MC.AMD100171@0123861390
5454,MC.AMD101122@0123889408
5469,1340597-1-0238096044
5492,MC.157968@1075678472
5501,MC.160315@1075678496
5503,MC.AMD114900@0123910937
5515,MC.AMD107896@0123910934
5530,MC.AMD119058@0123911178
5542,7143391-1-0238096079
5550,
5565,8740646-1-0238096087
5580,MC.160606@1075678502
5584,MC.AMD120406@0123911195
5597,MC.156416@1075641889
5608,MC.AMD101155@0123861358
5611,MC.158125@1075678497
5643,MC.159359@1075678537
5644,MC.AMD104049@0123911162
5648,MC.AMD100407@0123861353
5666,MC.AMD107173@0123911173
5672,6645242-1-0238096696
5673,1128828-1-0224008211
5679,MC.AMD105228@0123861352
5702,MC.AMD107873@0123861350
5706,MC.155240@1075678534
5707,8899230-1-0238096760
5711,9832464-1-0238096683
5712,MC.162969@1082087118
5718,MC.158915@1075678916
5720,MC.158798@1075678892
5724,MC.AMD100338@0123910243
5736,
5743,8831225-1-0238096800
5767,
5772,MC.158927@1075678887
5777,MC.160588@1075678296
5785,MC.160065@1075678901
5790,MC.159754@1075678888
5796,5117249-1-0238096770
5812,
5818,MC.AMD108872@0123861340
5820,MC.AMD108227@0123911147
5850,MC.159318@1075678256
5854,MC.AMD101200@0123861150
5872,MC.AMD117466@0123861151
5874,MC.158787@1075678919
5883,7922098-1-0238096781
5893,MC.AMD100636@0123910229
5895,MC.AMD131952@0123861152
5907,MC.AMD103243@0123910920
5908,6377598-1-0238096845
5923,9480265-1-0238096829
5936,
5954,MC.AMD104074@0123910921
5955,
5979,MC.AMD134696@0123910923
5988,
5990,5327113-1-0238096846
5992,2628653-1-0238096854
5996,
5997,
5999,MC.159788@1075678529
6009,MC.AMD114485@0123910871
6010,
6013,MC.161029@1075678271
6016,MC.AMD109331@0123859607
6026,
6033,
6041,MC.AMD135192@0123861127
6050,
6051,MC.AMD127270@0123910206
6053,MC.161343@1075678291
6057,MC.160824@1075680084
6059,MC.AMD104708@0123861129
6061,MC.AMD133630@0123910913
6065,9347821-1-0238096512
6068,5909492-1-0238096514
6069,MC.159801@1075678290
6088,MC.158450@1075678279
6089,MC.AMD126448@0123910911
6094,
6096,MC.158305@1075678292
6113,MC.AMD100685@0123861691
6118,
6121,MC.AMD121800@0123910919
6124,MC.AMD102904@0123910910
6130,MC.AMD115296@0123909857
6142,MC.160436@1075678307
6148,MC.AMD104503@0123861346
6160,MC.AMD129505@0123910908
6166,MC.157692@1075678323
6171,MC.AMD102264@0123861689
